consulta,necesita_grafico,tipo_grafico
dibujar gráfico los productos más vendidos,True,barras
Obtener estados de venta con gráfico de dispersión,True,dispersion
PLOTEAR LA PARTICIPACIÓN DE MERCADO,1,circular
Consulta: presentar en gráfico el stock por categoría,True,barras
descuentos aplicados incluyendo gráfica,1,lineal
Me gustaría dame los clientes registrados por mes y graficalos,1,barras
Quiero lista los top 10 productos más vendidos y muestra un gráfico,True,barras
Dame dame los ventas por hora del día y graficalos,1,barras
Comparación precio costo vs precio venta,True,dispersion
dibuja gráfico las ventas mensuales,True,lineal
Solicito crear plot los productos más vendidos,1,barras
crear plot los productos más vendidos,1,lineal
clientes registrados por mes con gráfico circular por favor,True,circular
Me gustaría busca los movimientos de inventario y crea una gráfica,True,barras
Dame stock por categoría con gráfico,True,barras
Sería posible ventas mensuales del último año incluyendo gráfica,True,lineal
genera una gráfica de los primeros 5 clientes ordenados alfabéticamente,True,barras
Sería posible análisis de mercado,True,barras
genera una gráfica de los tipos de comprobante,1,histograma
Obtener muestrame los ventas mensuales del último año y presenta un gráfico,True,lineal
mostrar gráfico los métodos de pago,1,circular
Quiero crear plot la distribución de clientes,1,histograma
Podrías obten los primeros 5 clientes ordenados alfabéticamente y visualizalos en un gráfico,True,barras
Sería posible mostrame los primeros 5 clientes ordenados alfabéticamente y grafica los resultados,1,barras
Sería posible productos con mayor margen visualizado en línea,True,lineal
CREA UN PLOT DE LOS CLIENTES POR GRUPO DE EDAD,1,barras
Presenta en gráfico los compras por proveedor,True,barras
Podrías buscar productos por color rojo,False,ninguno
descuentos aplicados agregando chart,1,barras
Consulta: visualiza en un gráfico los clientes por grupo de edad,True,barras
Necesito grafica los productos con mayor margen,1,barras
Sería posible mostrame los descuentos aplicados y grafica los resultados,1,barras
plotea las ventas por hora,1,dispersion
TOP 10 PRODUCTOS MÁS VENDIDOS VISUALIZADO EN LÍNEA,True,lineal
Solicito movimientos de inventario visualizado en línea,True,lineal
Actualizar precio del producto SKU ABC123 por favor,False,ninguno
Métricas comerciales,True,barras
Requiero movimientos de inventario con gráfico de dispersión,True,dispersion
MOSTRAR GRÁFICO LA PARTICIPACIÓN DE MERCADO,True,circular
Obtener muestra gráfico el stock por categoría,True,barras
Necesito presenta en gráfico la frecuencia de compras,True,histograma
Ventas por vendedor y muestra gráfico,True,barras
Consulta: dame los stock por categoría y graficalos,1,barras
Quiero dibujar gráfico la evolución de precios,True,lineal
Solicito métodos de pago más utilizados en gráfico lineal,True,lineal
Obtener evolución de ventas en los últimos 6 meses,False,ninguno
ventas mensuales del último año con gráfico de dispersión,1,dispersion
BUSCA LOS MOVIMIENTOS DE INVENTARIO Y CREA UNA GRÁFICA,True,barras
VISUALIZAR LOS PRODUCTOS MÁS VENDIDOS,1,barras
muestra en un chart los productos con mayor margen,1,lineal
Necesito ventas por método de pago,False,ninguno
muestra en un chart los transacciones por estado,1,lineal
Requiero tipos de comprobante con gráfico de dispersión,True,dispersion
crear plot las ventas por hora,1,barras
Solicito compras por proveedor visualizado en línea,True,lineal
Mostrar visualiza en un gráfico los transacciones por estado,True,barras
Obtener clientes registrados por mes en gráfico lineal,True,lineal
Requiero transacciones por estado,False,ninguno
presenta en gráfico los compras por proveedor,True,barras
Me gustaría hacer gráfica los productos más vendidos,True,barras
Obtener presenta en gráfico los movimientos de inventario,True,barras
muestrame los estados de venta y presenta un gráfico,1,circular
genera una gráfica de los clientes registrados por mes?,True,barras
DESCUENTOS APLICADOS INCLUYENDO GRÁFICA,True,barras
Mostrar productos con precio mayor a 100 soles,0,ninguno
mostrame los stock por categoría y grafica los resultados?,1,barras
Necesito visualizar los productos más vendidos,1,barras
Consulta: dame los productos por categoría y graficalos,1,barras
genera chart las ventas mensuales,1,lineal
Solicito mostrar gráfico el stock por categoría,True,barras
haz gráfica las ventas por hora,1,circular
Requiero stock por categoría agregando chart,1,barras
Requiero ventas por vendedor visualizado en línea,True,lineal
Solicito ventas por hora del día,True,barras
ventas mensuales del último año,False,ninguno
Mostrar mostrame los descuentos aplicados y grafica los resultados,1,barras
Me gustaría ventas por hora del día incluyendo gráfica,True,barras
Necesito productos con mayor margen visualizado en línea,True,lineal
Solicito haz un gráfico de los productos con mayor margen,True,barras
Necesito precios promedio por marca agregando chart,1,barras
TIPOS DE COMPROBANTE CON GRÁFICO CIRCULAR,True,circular
Podrías hacer gráfica la correlación precio-ventas,True,dispersion
dibuja un gráfico con los productos con mayor margen,1,barras
dibuja gráfico la frecuencia de compras por favor,True,histograma
Obtener visualiza la correlación precio-ventas,True,dispersion
GENERA UNA GRÁFICA DE LOS CLIENTES REGISTRADOS POR MES,True,barras
Solicito ventas por temporada en gráfico lineal,True,lineal
Requiero haz un gráfico de los ventas mensuales del último año,True,lineal
Consulta: Dashboard de ventas,True,barras
Consulta: extrae los ventas por hora del día y haz un plot,1,barras
Necesito dibuja un gráfico con los transacciones por estado,True,barras
Quiero resultados del trimestre,True,lineal
Podrías genera chart la participación de mercado,1,circular
Requiero generar chart los productos más vendidos,1,barras
plotear los métodos de pago,1,dispersion
Mostrar descuentos aplicados con gráfico,True,barras
GENERA UNA GRÁFICA DE LOS DESCUENTOS APLICADOS,True,barras
CREA UN PLOT DE LOS TOP 10 PRODUCTOS MÁS VENDIDOS,1,barras
stock por categoría y gráfico,1,barras
Dame productos sin stock con gráfico,True,barras
Solicito lista todos los clientes activos,False,ninguno
obten los ventas por hora del día y visualizalos en un gráfico,1,circular
estados de venta con gráfico circular,True,circular
Quiero presentar en gráfico las ventas por hora,True,barras
Sería posible dibuja gráfico el stock por categoría,True,barras
Requiero dame los métodos de pago más utilizados y graficalos,1,barras
Ventas del día de hoy,True,barras
Evolución de ventas en los últimos 6 meses por favor,True,lineal
Solicito dibuja un gráfico con los transacciones por estado,True,barras
Clientes registrados por mes y graficalo en barras,1,barras
consulta los transacciones por estado y genera un chart,1,barras
Sería posible genera una gráfica de los tipos de comprobante,True,barras
Dame tendencia de productos más vendidos,False,ninguno
Necesito relación stock mínimo vs stock actual,False,ninguno
Me gustaría top 10 productos más vendidos en gráfico lineal,True,lineal
Solicito clientes registrados por mes en gráfico lineal,True,lineal
Mostrar extrae los descuentos aplicados y haz un plot,1,barras
Me gustaría obten los stock por categoría y visualizalos en un gráfico,True,barras
Sería posible muestra gráfico las ventas mensuales,True,lineal
dibuja gráfico los productos más vendidos,1,lineal
Me gustaría ventas por temporada y haz un gráfico de pastel,True,circular
Obtener movimientos de inventario y muestra histograma,True,histograma
Movimientos de inventario del producto ID 10,0,ninguno
Solicito visualizar el stock por categoría,1,barras
estados de venta con gráfico circular,1,circular
Estadísticas de ventas,1,barras
Comportamiento de ventas por temporada,1,lineal
Necesito grafica los métodos de pago más utilizados,1,barras
Dame crea un plot de los clientes por grupo de edad,1,barras
Podrías busca los clientes por grupo de edad y crea una gráfica,True,barras
Dame tipos de comprobante y gráfico,True,barras
Dame descuentos aplicados y haz un gráfico de pastel,True,circular
Indicadores clave por favor,False,ninguno
extrae los compras por proveedor y haz un plot,1,lineal
muestrame los movimientos de inventario y presenta un gráfico por favor,True,barras
Solicito muestrame los precios promedio por marca y presenta un gráfico,True,barras
Podrías distribución de edades de clientes,False,ninguno
Necesito busca los ventas por temporada y crea una gráfica,True,barras
Consulta: Tendencia de stock de un producto específico,True,lineal
Necesito crea plot las ventas por hora,1,barras
Consulta: muestra en un chart los productos sin stock,1,barras
Dibuja un gráfico con los productos por categoría,True,barras
generar chart las ventas mensuales,1,lineal
Sería posible top 10 productos más vendidos y muestra histograma,True,histograma
Podrías clientes registrados por mes incluyendo gráfica,True,barras
Obtener generar chart los productos más vendidos,1,barras
Quiero visualizar los métodos de pago,1,barras
Solicito mostrar gráfico el stock por categoría,True,barras
movimientos de inventario y haz un gráfico de pastel por favor,True,circular
Me gustaría presenta en gráfico los ventas por vendedor,True,barras
Dame plotea la correlación precio-ventas,1,dispersion
Estados de venta y muestra gráfico,True,barras
Consulta: stock por categoría y gráfico,True,barras
extrae los ventas mensuales del último año y haz un plot?,1,lineal
Evolución de ventas en los últimos 6 meses,1,lineal
grafica los ventas por temporada,1,barras
Solicito reporte ejecutivo,True,barras
Podrías genera chart las ventas mensuales,1,lineal
grafica los compras por proveedor,1,barras
Necesito presenta en gráfico los clientes por grupo de edad,True,barras
presenta en gráfico los descuentos aplicados,1,circular
Podrías top 10 productos más vendidos y graficalo en barras,1,barras
visualiza la frecuencia de compras,1,lineal
mostrame los transacciones por estado y grafica los resultados,1,barras
Sería posible crea plot la frecuencia de compras,1,histograma
Consulta: Ventas del día de hoy,False,ninguno
Podrías ventas mensuales del último año incluyendo gráfica,True,lineal
Requiero generar chart las ventas por hora,1,barras
plotea la correlación precio-ventas,1,dispersion
tipos de comprobante incluyendo gráfica,1,lineal
primeros 5 clientes ordenados alfabéticamente y gráfico,1,barras
plotear los productos más vendidos,1,dispersion
Ventas por cliente con ID 25,0,ninguno
Necesito ventas por vendedor visualizado en línea,True,lineal
Busca los productos con mayor margen y crea una gráfica,True,barras
Me gustaría busca los productos con mayor margen y crea una gráfica,True,barras
Podrías mostrame los stock por categoría y grafica los resultados,1,barras
primeros 5 clientes ordenados alfabéticamente y gráfico,True,barras
Dame genera chart la participación de mercado,1,circular
crear plot la frecuencia de compras?,1,histograma
EXTRAE LOS TIPOS DE COMPROBANTE Y HAZ UN PLOT,1,barras
Necesito presenta en gráfico los movimientos de inventario,True,barras
Solicito presentar en gráfico la participación de mercado,True,circular
Descuentos aplicados incluyendo gráfica,True,barras
Solicito muestrame los transacciones por estado y presenta un gráfico,True,barras
Solicito genera una gráfica de los ventas por temporada,True,barras
visualiza la participación de mercado,1,lineal
dibuja gráfico la distribución de clientes,1,lineal
Me gustaría productos sin stock actual,True,barras
primeros 5 clientes ordenados alfabéticamente con gráfico de dispersión,True,dispersion
Solicito movimientos de inventario con gráfico de dispersión,True,dispersion
Mostrar top 10 productos más vendidos visualizado en línea,True,lineal
precios promedio por marca y graficalo en barras por favor,1,barras
Productos por categoría agregando chart,1,barras
grafica los ventas por vendedor,1,barras
stock por categoría y graficalo en barras?,1,barras
Me gustaría descuentos aplicados y graficalo en barras,1,barras
STOCK POR CATEGORÍA Y MUESTRA UN GRÁFICO DE BARRAS,True,barras
extrae los estados de venta y haz un plot,1,lineal
primeros 5 clientes ordenados alfabéticamente y muestra un gráfico de barras por favor,True,barras
Requiero movimientos de inventario con gráfico,True,barras
Me gustaría dame los productos sin stock y graficalos,1,barras
Me gustaría genera una gráfica de los ventas por vendedor,True,barras
Dame genera una gráfica de los productos con mayor margen,True,barras
visualiza en un gráfico los productos con mayor margen,1,circular
Sería posible crea un plot de los ventas por hora del día,1,barras
Mostrar dibujar gráfico el stock por categoría,True,barras
Me gustaría consulta los tipos de comprobante y genera un chart,1,barras
Obtener presentar en gráfico los productos más vendidos,True,barras
PLOTEAR LAS VENTAS POR HORA,1,barras
Requiero haz un gráfico de los top 10 productos más vendidos,True,barras
Podrías busca los productos con mayor margen y crea una gráfica,True,barras
ventas mensuales del último año y muestra un gráfico de barras por favor,True,barras
lista los tipos de comprobante y muestra un gráfico,1,barras
Necesito ventas pendientes de pago,False,ninguno
Podrías crear plot la correlación precio-ventas,1,dispersion
ventas mensuales del último año y muestra histograma,1,histograma
presenta en gráfico la correlación precio-ventas,1,barras
Consulta: stock por categoría visualizado en línea,True,lineal
Dame compras por proveedor y haz un gráfico de pastel,True,circular
Quiero visualiza en un gráfico los productos por categoría,True,barras
busca los compras por proveedor y crea una gráfica,1,lineal
Necesito movimientos de inventario y gráfico,True,barras
Quiero hacer gráfica la participación de mercado,True,circular
Obtener muestra en un chart los ventas por temporada,1,barras
ventas mensuales del último año y muestra un gráfico de barras,1,barras
Quiero crea un plot de los estados de venta,1,barras
Dame extrae los top 10 productos más vendidos y haz un plot,1,barras
visualiza la evolución de precios,1,lineal
Me gustaría mostrame los transacciones por estado y grafica los resultados,1,barras
Sería posible relación stock mínimo vs stock actual,False,ninguno
Movimientos de inventario y gráfico,True,barras
muestra gráfico los productos más vendidos,1,circular
dibuja un gráfico con los transacciones por estado,1,barras
productos con mayor margen con gráfico?,True,barras
reporte ejecutivo,True,barras
Solicito graficar los métodos de pago,1,barras
Quiero presentar en gráfico la distribución de clientes,True,histograma
Podrías tendencia de productos más vendidos,True,lineal
presenta en gráfico los clientes por grupo de edad,1,circular
Necesito buscar productos de la marca nike,False,ninguno
dibuja gráfico la correlación precio-ventas,True,dispersion
Mostrar dibuja gráfico la correlación precio-ventas,True,dispersion
Consulta: clientes registrados por mes incluyendo gráfica,True,barras
Necesito dibujar gráfico las ventas mensuales,True,lineal
Ventas por vendedor incluyendo gráfica,True,barras
Solicito reporte de desempeño,False,ninguno
genera una gráfica de los tipos de comprobante por favor,True,barras
Solicito haz un gráfico de los productos por categoría,True,barras
Dame distribución de clientes por grupo de edad,True,histograma
Sería posible crea un plot de los ventas por temporada,1,barras
Requiero ventas mensuales del último año y muestra histograma,True,histograma
Sería posible genera una gráfica de los compras por proveedor,True,barras
Muestrame los estados de venta y presenta un gráfico,True,barras
Visualizar la correlación precio-ventas,1,dispersion
Dame obten los ventas por hora del día y visualizalos en un gráfico,True,barras
Me gustaría crea plot los métodos de pago,1,barras
Obtener obten los ventas por vendedor y visualizalos en un gráfico,True,barras
muestra gráfico la evolución de precios,1,circular
PRESENTA EN GRÁFICO LA DISTRIBUCIÓN DE CLIENTES,True,histograma
precios promedio por marca visualizado en línea,True,lineal
Me gustaría visualizar las ventas mensuales,1,lineal
crea plot las ventas por hora,1,lineal
¿CUÁNTOS CLIENTES SE REGISTRARON ESTE MES?,False,ninguno
Quiero dibujar gráfico las ventas por hora,True,barras
tipos de comprobante y haz un gráfico de pastel,1,circular
Tendencia de stock de un producto específico por favor,False,ninguno
Mostrar crea plot la distribución de clientes,1,histograma
Necesito mostrame los ventas mensuales del último año y grafica los resultados,1,lineal
visualizar la distribución de clientes,1,lineal
Solicito descuentos aplicados y graficalo en barras,1,barras
Requiero presentar en gráfico la evolución de precios,True,lineal
stock por categoría y graficalo en barras?,1,barras
Necesito presentar en gráfico los métodos de pago,True,barras
Obtener muestra en un chart los productos por categoría,1,barras
Mostrar crea plot los productos más vendidos,1,barras
crear plot las ventas mensuales,1,lineal
Lista los clientes por grupo de edad y muestra un gráfico,True,barras
Quiero graficar las ventas por hora,1,barras
Requiero productos por categoría con gráfico de dispersión,True,dispersion
Consulta: presenta en gráfico la correlación precio-ventas,True,dispersion
Dame visualizar la participación de mercado,1,circular
Me gustaría genera chart la frecuencia de compras,1,histograma
Necesito ventas del día de hoy,True,barras
STOCK POR CATEGORÍA VISUALIZADO EN LÍNEA,True,lineal
Obtener stock por categoría y graficalo en barras,1,barras
Necesito ventas por vendedor y muestra un gráfico de barras,True,barras
Requiero presentar en gráfico el stock por categoría,True,barras
Mostrar compras realizadas al proveedor id 5,False,ninguno
presenta en gráfico los métodos de pago más utilizados,True,barras
Plotear la frecuencia de compras,1,histograma
Graficar el stock por categoría,1,barras
Quiero consulta los descuentos aplicados y genera un chart,1,barras
Necesito haz gráfica la frecuencia de compras,True,histograma
Me gustaría haz un gráfico de los compras por proveedor,True,barras
crea un plot de los ventas por vendedor,1,dispersion
Solicito mostrar gráfico el stock por categoría,True,barras
GENERA CHART LA PARTICIPACIÓN DE MERCADO,1,circular
Podrías transacciones por estado con gráfico circular,True,circular
Sería posible plotear el stock por categoría,1,barras
generar chart las ventas por hora,1,barras
Sería posible dibuja gráfico la frecuencia de compras,True,histograma
Mostrar crea un plot de los productos con mayor margen,1,barras
Quiero primeros 5 clientes ordenados alfabéticamente con gráfico de dispersión,True,dispersion
crea plot el stock por categoría,1,barras
Dame dibujar gráfico las ventas mensuales,True,lineal
Obtener crea un plot de los ventas por hora del día,1,barras
Quiero plotear la frecuencia de compras,1,histograma
dibuja un gráfico con los compras por proveedor,1,barras
descuentos aplicados y muestra un gráfico de barras,1,barras
Sería posible crea plot la evolución de precios,1,lineal
indicadores clave,True,barras
Consulta: mostrame los precios promedio por marca y grafica los resultados,1,barras
Sería posible busca los ventas por temporada y crea una gráfica,True,barras
Consulta: muestra gráfico las ventas por hora,True,barras
obten los estados de venta y visualizalos en un gráfico,1,circular
Obtener presenta en gráfico los precios promedio por marca,True,barras
Quiero consulta los estados de venta y genera un chart,1,barras
Dame obten los estados de venta y visualizalos en un gráfico,True,barras
Quiero visualizar la participación de mercado,1,circular
Generar chart el stock por categoría,1,barras
lista los ventas mensuales del último año y muestra un gráfico,1,barras
Obtener muestrame los descuentos aplicados y presenta un gráfico,True,barras
Dibuja un gráfico con los compras por proveedor,True,barras
Obtener muestra en un chart los transacciones por estado,1,barras
Quiero primeros 5 clientes ordenados alfabéticamente agregando chart,1,barras
Sería posible descuentos aplicados agregando chart,1,barras
MUESTRAME LOS ESTADOS DE VENTA Y PRESENTA UN GRÁFICO,True,barras
DAME LOS TIPOS DE COMPROBANTE Y GRAFICALOS,1,barras
Mostrar genera chart las ventas mensuales,1,lineal
crea un plot de los ventas por temporada,1,dispersion
clientes registrados por mes y muestra histograma?,True,histograma
visualiza el stock por categoría,1,lineal
productos que necesitan reposición,False,ninguno
Solicito muestra gráfico las ventas mensuales,True,lineal
Solicito productos sin stock con gráfico,True,barras
Sería posible top 10 productos más vendidos agregando chart,1,barras
lista los primeros 5 clientes ordenados alfabéticamente y muestra un gráfico,1,barras
Requiero crea plot los métodos de pago,1,barras
transacciones por estado y muestra un gráfico de barras,1,barras
Requiero variación de precios de productos,False,ninguno
Dame ventas por temporada con gráfico de dispersión,True,dispersion
Quiero muestrame los ventas mensuales del último año y presenta un gráfico,True,lineal
Solicito análisis de clientes,False,ninguno
Podrías plotear el stock por categoría,1,barras
Visualizar las ventas mensuales,1,lineal
Variación de precios de productos,1,lineal
Consulta los precios promedio por marca y genera un chart,1,barras
descuentos aplicados y muestra gráfico,1,circular
TOP 10 PRODUCTOS MÁS VENDIDOS Y GRÁFICO,True,barras
clientes por grupo de edad y muestra histograma,1,histograma
Dame hacer gráfica la evolución de precios,True,lineal
genera una gráfica de los productos por categoría?,True,barras
Requiero tipos de comprobante y muestra gráfico,True,barras
Me gustaría ventas por hora del día y gráfico,True,barras
Solicito lista los clientes por grupo de edad y muestra un gráfico,True,barras
PLOTEA LOS MÉTODOS DE PAGO,1,barras
Resultados del trimestre,1,lineal
presenta en gráfico los compras por proveedor,1,circular
presentar en gráfico la frecuencia de compras,1,barras
Quiero genera chart la correlación precio-ventas,1,dispersion
Comparación precio costo vs precio venta,False,ninguno
Eliminar cliente con DNI 87654321,0,ninguno
Solicito lista de todos los proveedores,False,ninguno
Sería posible extrae los transacciones por estado y haz un plot,1,barras
genera chart el stock por categoría,1,barras
Reporte ejecutivo,0,ninguno
Necesito haz un gráfico de los ventas mensuales del último año,True,lineal
hacer gráfica las ventas mensuales,1,circular
Necesito obten los stock por categoría y visualizalos en un gráfico,True,barras
Podrías haz un gráfico de los transacciones por estado,True,barras
Podrías presenta en gráfico los métodos de pago más utilizados,True,barras
Dame extrae los ventas mensuales del último año y haz un plot,1,lineal
productos sin stock en gráfico lineal,True,lineal
Requiero descuentos aplicados en gráfico lineal,True,lineal
Solicito plotear la distribución de clientes,1,histograma
Podrías dibuja un gráfico con los compras por proveedor,True,barras
hacer gráfica la evolución de precios por favor,True,lineal
visualiza en un gráfico los precios promedio por marca por favor,True,barras
Productos sin stock y haz un gráfico de pastel,True,circular
dibuja un gráfico con los ventas por hora del día,1,barras
Ventas por hora del día,False,ninguno
descuentos aplicados y gráfico por favor,True,barras
presenta en gráfico los productos más vendidos,1,barras
Obtener descuentos aplicados y haz un gráfico de pastel,True,circular
Necesito dame los ventas mensuales del último año y graficalos,1,lineal
Stock por categoría y muestra un gráfico de barras,True,barras
graficar las ventas por hora,1,barras
haz gráfica los productos más vendidos,1,circular
grafica los primeros 5 clientes ordenados alfabéticamente,1,barras
Quiero crear plot el stock por categoría,1,barras
Requiero tipos de comprobante y haz un gráfico de pastel,True,circular
genera una gráfica de los descuentos aplicados,1,histograma
Consulta: plotea las ventas por hora,1,barras
Dame plotear los métodos de pago,1,barras
Obtener tipos de comprobante y gráfico,True,barras
Graficar los métodos de pago,1,barras
Necesito hacer gráfica las ventas mensuales,True,lineal
Ventas por método de pago,False,ninguno
Obtener mostrar gráfico la frecuencia de compras,True,histograma
Solicito transacciones por estado con gráfico,True,barras
Obtener métodos de pago más utilizados agregando chart,1,barras
Podrías muestra en un chart los ventas mensuales del último año,1,lineal
descuentos aplicados en gráfico lineal,1,lineal
Consulta: visualiza en un gráfico los stock por categoría,True,barras
Dame haz gráfica las ventas por hora,True,barras
Mostrar ventas por temporada en gráfico lineal,True,lineal
Obtener genera chart el stock por categoría,1,barras
Requiero transacciones pendientes de confirmación,False,ninguno
Necesito productos sin stock y muestra un gráfico de barras,True,barras
Me gustaría actualizar teléfono del cliente con id 15,False,ninguno
Obtener generar chart la frecuencia de compras,1,histograma
Consulta: Buscar productos por color rojo,False,ninguno
ventas mensuales del último año con gráfico de dispersión,True,dispersion
crear plot las ventas por hora,1,lineal
mostrar gráfico el stock por categoría,1,circular
Consulta: crea un plot de los ventas por temporada,1,barras
Consulta: genera una gráfica de los precios promedio por marca,True,barras
Necesito lista los ventas mensuales del último año y muestra un gráfico,True,lineal
Mostrar gráfico los métodos de pago,True,barras
generar chart la evolución de precios por favor,1,lineal
Podrías ventas mensuales del último año y graficalo en barras,1,barras
Consulta: grafica los ventas por temporada,1,barras
visualiza la correlación precio-ventas,1,lineal
Requiero tipos de comprobante con gráfico circular,True,circular
visualiza las ventas mensuales,1,lineal
muestra gráfico la correlación precio-ventas por favor,True,dispersion
lista los clientes por grupo de edad y muestra un gráfico,1,barras
Consulta: muestra gráfico el stock por categoría,True,barras
ventas por hora del día con gráfico,1,barras
clientes registrados por mes en gráfico lineal,1,lineal
Ventas por vendedor incluyendo gráfica,True,barras
Mostrar genera una gráfica de los compras por proveedor,True,barras
muestra gráfico la participación de mercado,True,circular
precios promedio por marca visualizado en línea,1,lineal
Podrías graficar las ventas mensuales,1,lineal
Necesito grafica los ventas por vendedor,1,barras
genera una gráfica de los clientes registrados por mes,1,histograma
visualizar la frecuencia de compras,1,lineal
haz un gráfico de los ventas por temporada?,True,barras
Requiero estadísticas de productos,True,barras
Mostrar presenta en gráfico los ventas por vendedor,True,barras
Sería posible mostrame los descuentos aplicados y grafica los resultados,1,barras
genera una gráfica de los ventas por vendedor,1,histograma
visualiza en un gráfico los clientes por grupo de edad,1,circular
Dispersión de precios por categoría,1,dispersion
stock por categoría y graficalo en barras,1,barras
Requiero top 10 productos más vendidos y gráfico,True,barras
Sería posible muestra en un chart los clientes registrados por mes,1,barras
Me gustaría buscar cliente por nombre juan pérez,False,ninguno
visualiza las ventas por hora por favor,True,barras
visualiza las ventas por hora,1,lineal
transacciones por estado y muestra un gráfico de barras?,True,barras
Requiero ventas por vendedor con gráfico de dispersión,True,dispersion
generar chart las ventas mensuales?,1,lineal
Obtener productos por categoría en gráfico lineal,True,lineal
busca los precios promedio por marca y crea una gráfica?,True,barras
Dame clientes registrados por mes y gráfico,True,barras
GRAFICAR LA DISTRIBUCIÓN DE CLIENTES,1,histograma
productos sin stock y muestra gráfico,1,circular
Me gustaría precios promedio por marca en gráfico lineal,True,lineal
Lista los ventas por hora del día y muestra un gráfico,True,barras
Sería posible hacer gráfica la distribución de clientes,True,histograma
Ventas mensuales del último año,1,barras
dibuja un gráfico con los stock por categoría,True,barras
Solicito estados de venta y muestra gráfico,True,barras
Consulta: haz un gráfico de los compras por proveedor,True,barras
mostrame los stock por categoría y grafica los resultados,1,barras
VISUALIZA EN UN GRÁFICO LOS PRODUCTOS POR CATEGORÍA,True,barras
plotea la participación de mercado,1,dispersion
Productos por categoría con gráfico circular,True,circular
mostrame los ventas mensuales del último año y grafica los resultados,1,barras
genera chart la frecuencia de compras por favor,1,histograma
Genera chart las ventas por hora,1,barras
Reporte de desempeño,1,barras
productos por categoría y graficalo en barras,1,barras
Compras por proveedor por favor,False,ninguno
Análisis de clientes,0,ninguno
ventas por vendedor y haz un gráfico de pastel,1,circular
Muestra gráfico los métodos de pago,True,barras
Mostrar haz un gráfico de los productos con mayor margen,True,barras
extrae los ventas por hora del día y haz un plot,1,barras
Dame transacciones por estado con gráfico,True,barras
Quiero obten los ventas por hora del día y visualizalos en un gráfico,True,barras
dibuja un gráfico con los transacciones por estado por favor,True,barras
Requiero clientes por grupo de edad y muestra histograma,True,histograma
Obtener productos por categoría en gráfico lineal,True,lineal
Sería posible dibuja gráfico las ventas por hora,True,barras
Requiero plotear las ventas mensuales,1,lineal
Me gustaría presentar en gráfico la correlación precio-ventas,True,dispersion
productos con mayor margen con gráfico de dispersión,1,dispersion
Requiero muestra en un chart los transacciones por estado,1,barras
Podrías primeros 5 clientes ordenados alfabéticamente y gráfico,True,barras
Dame plotear los métodos de pago,1,barras
DIBUJA UN GRÁFICO CON LOS PRODUCTOS POR CATEGORÍA,True,barras
Obtener compras por proveedor y muestra gráfico,True,barras
visualizar los métodos de pago,1,lineal
Podrías generar chart la correlación precio-ventas,1,dispersion
Me gustaría productos con mayor margen con gráfico circular,True,circular
Consulta: productos sin stock incluyendo gráfica,True,barras
Mostrar genera una gráfica de los productos con mayor margen,True,barras
Consulta: dibujar gráfico el stock por categoría,True,barras
extrae los compras por proveedor y haz un plot?,1,barras
presenta en gráfico los métodos de pago,1,barras
Me gustaría plotea la frecuencia de compras,1,histograma
Mostrar consulta los productos por categoría y genera un chart,1,barras
Stock por categoría visualizado en línea,True,lineal
Dame clientes por grupo de edad y muestra histograma,True,histograma
DAME LOS MÉTODOS DE PAGO MÁS UTILIZADOS Y GRAFICALOS,1,barras
Mostrar dibuja un gráfico con los clientes por grupo de edad,True,barras
Sería posible crea plot las ventas por hora,1,barras
Necesito obten los estados de venta y visualizalos en un gráfico,True,barras
movimientos de inventario y graficalo en barras,1,barras
Sería posible muestra en un chart los productos por categoría,1,barras
Dame dame los ventas mensuales del último año y graficalos,1,lineal
crear plot las ventas por hora,1,barras
Solicito consulta los productos por categoría y genera un chart,1,barras
dame los tipos de comprobante y graficalos,1,barras
grafica la frecuencia de compras,1,histograma
BUSCA LOS VENTAS POR TEMPORADA Y CREA UNA GRÁFICA,True,barras
obten los stock por categoría y visualizalos en un gráfico,1,circular
crea un plot de los estados de venta por favor,1,barras
Dame primeros 5 clientes ordenados alfabéticamente y haz un gráfico de pastel,True,circular
dibuja un gráfico con los métodos de pago más utilizados,1,barras
Distribución de edades de clientes,1,histograma
Podrías clientes por grupo de edad visualizado en línea,True,lineal
MUESTRAME LOS PRECIOS PROMEDIO POR MARCA Y PRESENTA UN GRÁFICO,True,barras
Solicito crea plot la frecuencia de compras,1,histograma
grafica los compras por proveedor,1,barras
Dibuja un gráfico con los primeros 5 clientes ordenados alfabéticamente,True,barras
Consulta: Dashboard de ventas,True,barras
Quiero dibuja un gráfico con los stock por categoría,True,barras
Mostrar haz gráfica los métodos de pago,True,barras
Dame mostrame los top 10 productos más vendidos y grafica los resultados,1,barras
Productos sin stock actual,0,ninguno
Quiero lista los ventas mensuales del último año y muestra un gráfico,True,lineal
Me gustaría transacciones por estado con gráfico,True,barras
Me gustaría movimientos de inventario incluyendo gráfica,True,barras
Podrías muestra en un chart los ventas por vendedor,1,barras
PROPORCIÓN DE TIPOS DE COMPROBANTE,False,ninguno
Solicito descuentos aplicados y haz un gráfico de pastel,True,circular
grafica los métodos de pago más utilizados,1,barras
genera chart la distribución de clientes,1,barras
Necesito descuentos aplicados y muestra gráfico,True,barras
Requiero dibuja gráfico el stock por categoría,True,barras
Requiero distribución de días entre compras,True,histograma
¿Cuántos clientes se registraron este mes,True,barras
